RXCUI,ATC4,ATC2
1659600,J01CR,J01
205843,J01CR,J01
861066,N06AB,N06
285127,N05AE,N05
284548,N05AE,N05
284549,N05AE,N05
284550,N05AE,N05
1804746,J02AX,J02
865571,A10BB,A10
865573,A10BB,A10
865568,A10BB,A10
995906,J01CE,J01
352228,N05AE,N05
404443,N02CC,N02
404444,N02CC,N02
104367,C02CA,C02
104368,C02CA,C02
104369,C02CA,C02
205544,C02CA,C02
546624,J02AC,J02
352218,J02AC,J02
352219,J02AC,J02
352220,J02AC,J02
207106,D01AC,D01
207107,D01AC,D01
207112,D01AC,D01
201900,D01AC,D01
201901,D01AC,D01
207108,D01AC,D01
205828,A10BB,A10
205830,A10BB,A10
208161,N06AB,N06
208149,N06AB,N06
212233,N06AB,N06
205641,A04AD,A04
205642,A04AD,A04
205645,A04AD,A04
211322,N06AX,N06
283406,N06AX,N06
211323,N06AX,N06
283407,N06AX,N06
261135,N06AX,N06
283485,N06AX,N06
859983,N05AH,N05
859979,N05AH,N05
646250,G03AC,G03
1367439,G03AC,G03
855200,H01CC,H01
348812,H01CC,H01
896856,G03GA,G03
1111011,G03AC,G03
1666306,B02BD,B02
1797861,H01BA,H01
991722,B02AB,B02
1718975,B02BD,B02
1719228,B02BD,B02
310352,D01AC,D01
310353,D01AC,D01
308867,A11CC,A11
886662,C01BC,C01
886666,C01BC,C01
886671,C01BC,C01
198145,A07EA,A07
312615,A07EA,A07
198148,A07EA,A07
835913,P01BC,P01
242462,B01AC,B01
197516,J01FA,J01
197517,J01FA,J01
242461,B01AC,B01
836347,R01AX,R01
836356,R01AX,R01
393245,C01AA,C01
309313,N06AB,N06
199387,N05AX,N05
312085,A04AA,A04
198371,C03CA,C03
885857,A07EC,A07
310261,L02BG,L02
313762,N05CF,N05
313761,N05CF,N05
359296,V03AE,V03
197433,V03AE,V03
310436,N06DA,N06
310437,N06DA,N06
579148,N06DA,N06
312136,N03AF,N03
312137,N03AF,N03
312138,N03AF,N03
308136,C08CA,C08
197361,C08CA,C08
308135,C08CA,C08
845488,C09AA,C09
198188,C09AA,C09
198189,C09AA,C09
261962,C09AA,C09
854984,C09AA,C09
854988,C09AA,C09
854925,C09AA,C09
312845,N04BC,N04
312846,N04BC,N04
314208,N04BC,N04
312847,N04BC,N04
283858,N04BC,N04
562704,N04BC,N04
312849,N04BC,N04
979485,C09CA,C09
979492,C09CA,C09
979480,C09CA,C09
860901,N06DA,N06
200132,A10BF,A10
199149,A10BF,A10
199150,A10BF,A10
310599,A04AA,A04
351264,N02AE,N02
351265,N02AE,N02
351266,N02AE,N02
351267,N02AE,N02
283536,N03AF,N03
905172,N06AA,N06
905168,N06AA,N06
312744,N05AH,N05
312743,N05AH,N05
317174,N05AH,N05
312745,N05AH,N05
403884,N03AX,N03
616487,N05AH,N05
616483,N05AH,N05
892582,N02AA,N02
892672,N02AA,N02
892589,N02AA,N02
894780,N02AA,N02
997285,R05DA,R05
997296,R05DA,R05
403878,L01XE,L01
403879,L01XE,L01
200094,C09CA,C09
200095,C09CA,C09
200096,C09CA,C09
310792,C03AA,C03
310793,C03AA,C03
200224,R03DC,R03
897702,N02AA,N02
897710,N02AA,N02
200327,L01BC,L01
200328,L01BC,L01
835572,N06AA,N06
835591,N06AA,N06
835589,N06AA,N06
835577,N06AA,N06
311918,N02CC,N02
314135,N02CC,N02
311759,R03DC,R03
242438,R03DC,R03
485440,N05CF,N05
485442,N05CF,N05
485465,N05CF,N05
1797867,R01AC,R01
403975,A03AE,A03
259306,A03AE,A03
311345,J01XX,J01
309140,N07AX,N07
406503,H05BX,H05
310023,H05BX,H05
477234,J01XD,J01
199519,J01XD,J01
861402,C04AX,C04
197623,N07BB,N07
197624,N07BB,N07
1437968,L01AA,L01
1437969,L01AA,L01
897657,N02AA,N02
858262,H05BX,H05
977860,N06BA,N06
1049604,N02AA,N02
991147,N07BC,N07
1049615,N02AA,N02
351172,G04CB,G04
1874559,N06AX,N06
1874553,N06AX,N06
892625,N02AA,N02
900575,J05AE,J05
1251903,C03CC,C03
197702,D01AE,D01
197703,D01AE,D01
199450,N05BA,N05
246172,N05BA,N05
282755,C09CA,C09
205304,C09CA,C09
205305,C09CA,C09
283316,C03AA,C03
283317,C03AA,C03
477130,C03AA,C03
1049221,N02BE,N02
1366192,N05BA,N05
1607617,N06AX,N06
996824,G02AB,G02
308050,N05BA,N05
886634,N02AF,N02
308891,A02AC,A02
313932,A11CC,A11
309684,A01AC,A01
309686,A01AC,A01
309844,N05BA,N05
309843,N05BA,N05
1190568,A03BA,A03
197730,C03CA,C03
197731,C03CA,C03
1010739,C01BB,C01
1010878,C01BB,C01
311376,N05BA,N05
860225,G03AC,G03
861479,N02AB,N02
864978,N07BC,N07
864761,N07BC,N07
864769,N07BC,N07
422410,N05CD,N05
314087,A02AA,A02
253017,A02AA,A02
205301,A07EA,A07
315187,A07EA,A07
856724,C07AA,C07
856733,C07AA,C07
282465,A02AC,A02
309371,A01AB,A01
197577,A01AC,A01
343033,A01AC,A01
197579,A01AC,A01
197580,A01AC,A01
197581,A01AC,A01
197582,A01AC,A01
197583,A01AC,A01
864720,N07BC,N07
864708,N07BC,N07
310429,C03CA,C03
313988,C03CA,C03
197732,C03CA,C03
105585,L01BA,L01
864718,N07BC,N07
864706,N07BC,N07
197931,L01BB,L01
861467,N02AB,N02
861455,N02AB,N02
860215,G03AC,G03
860221,G03AC,G03
198165,A03AB,A03
312617,A07EA,A07
198144,A07EA,A07
198146,A07EA,A07
198317,N05CD,N05
198318,N05CD,N05
855326,B01AA,B01
855290,B01AA,B01
855304,B01AA,B01
855334,B01AA,B01
855346,B01AA,B01
855298,B01AA,B01
855314,B01AA,B01
855320,B01AA,B01
855340,B01AA,B01
213392,J05AG,J05
213390,J05AG,J05
352143,J05AG,J05
1098175,D08AX,D08
582753,D08AX,D08
603978,S01BC,S01
1047508,J01MA,J01
991606,N07AB,N07
1046266,R01AA,R01
1249631,C05AA,C05
213729,C07AB,C07
285032,S01EE,S01
1111341,R01AC,R01
1111345,R01AC,R01
213272,S01EC,S01
1190664,A03BA,A03
213204,S01GX,S01
1797898,R01AC,R01
206792,S01GX,S01
208660,S01FA,S01
1298360,S01FA,S01
1298366,S01FA,S01
1298356,S01FA,S01
1298364,S01FA,S01
1149663,D08AG,D08
1739858,S01KA,S01
1088217,S01KA,S01
900141,S01KA,S01
1739851,S01KA,S01
1363484,S01KA,S01
827713,A06AA,A06
1086259,A01AC,A01
207446,H02AB,H02
208601,A01AC,A01
1548714,A07EA,A07
207846,J01GB,J01
207850,J01GB,J01
207100,A01AB,A01
208813,J01GB,J01
208821,J01GB,J01
1011080,J01GB,J01
213307,J01MA,J01
103943,J01MA,J01
211020,S01EA,S01
108896,S01EA,S01
1547771,C05AD,C05
806396,A12AA,A12
1362132,S01BC,S01
1365866,S01BC,S01
284380,R06AX,R06
404473,J01MA,J01
1421456,D11AX,D11
1601091,R01AC,R01
900105,S01KA,S01
213320,J01MA,J01
404630,J01MA,J01
804544,D07AC,D07
213072,A06AB,A06
213071,A06AB,A06
998465,A01AB,A01
209468,A01AD,A01
1593116,A01AD,A01
795925,N06BC,N06
1094538,N02BE,N02
1244951,N02BE,N02
1307224,C01CA,C01
992792,A01AB,A01
351875,A04AD,A04
198031,N07BA,N07
198030,N07BA,N07
1659967,N02BE,N02
1659960,N02BE,N02
1037248,D01AE,D01
692849,D01AE,D01
596918,A02BC,A02
992536,D01AE,D01
1730486,R05DA,R05
979118,A01AD,A01
1189316,N02BE,N02
1659964,N02BE,N02
1804449,N02BE,N02
992530,D01AE,D01
692909,R05DA,R05
1294196,D04AA,D04
1730190,R05DA,R05
1796710,N02BE,N02
1113397,N02BE,N02
1487294,R06AB,R06
1540675,R05DA,R05
1659175,N02BE,N02
1113705,N02BE,N02
1298348,N02BE,N02
1369842,N02BE,N02
1233575,N02BE,N02
1799180,N02BE,N02
404172,N02BE,N02
213073,A06AB,A06
404318,A06AB,A06
1110988,N02BE,N02
2047428,A01AD,A01
1099290,N06AA,N06
201868,J04AB,J04
206702,J04AM,J04
201867,J04AB,J04
207436,J04AB,J04
1361226,B01AB,B01
1361615,B01AB,B01
